legacy_type,legacy_shade,stones,lines
SA,MVIO,2,4
SA,OC,132,5941
SA,OR,85,4065
SA,ORL,31,104
SA,PAD,1,1
SA,PF,83,2647
SA,PL,108,13268
SA,PLM,1,1
SA,PM,101,5032
SA,PMM,1,2
SA,SP,4,6
SA,TL,5,5
SA,VIO,57,1105
SA,W.SA,7,6
SA,WH,51,472
SA,YL,79,2032
SA,YLM,1,1
SA,YM,92,1881
SA,YS,67,661
SB,,5,13
SK,2,44,38
SK,BK,12,26
SK,DD,85,304
SK,DF,58,64
SK,FF,20,2
SK,LD,61,475
SK,LF,38,16
SMQ,,115,159
SMQ,A,284,2081
SMQ,AA,3,9
SMQ,AAA,55,79
SPE,,40,133
SPE,BK,2,1
SPE,M,11,8
SPE,YS,2,4
SPI,,5,5
SPI,BK,47,179
SPI,PK,7,18
SPI,PURP,7,12
SPI,RED,16,69
STS,BK,12,6
STS,BR,8,0
STS,PK,1,2
STS,WH,13,8
STS,YM,1,1
SYN,,2,2
SYN,PK,2,5
TAN,,3,3
TAN,A,9,28
TAN,AA,78,518
TAN,AAA,80,597
TAN,C,2,1
THP,A,13,6
THP,AAA,14,13
THP,AUB,21,44
THP,MUL,6,3
THP,PCK,21,37
THP,SIL,21,41
TIG,,45,83
TIG,C,1,1
TOP,WH,3,19
TOU,PARA,17,14
TSAV,,25,16
TSAV,A,80,11308
TSAV,AA,69,3133
TSAV,AAA,58,546
TSAV,AAAA,19,29
TU,,65,242
TU,BL,23,3
TU,C,1,1
TU,GO,1,1
TU,GR,22,2
TU,GY,3,0
TU,LBL,7,0
TU,ST,2,0
TURQ,,70,152
TURQ,BL,76,157
TURQ,CS,5,0
TURQ,GR,62,93
TURQ,LBL,7,10
TURQ,RCT,42,52
TURQ,REC,81,114
UV,,1,0
WD,,11,162
WD,BK,1,1
WQA,,126,415
WQA,A,1,3
WQA,ML,14,26
WT,,118,475
WT,OR,9,0
WT,WH,3,0
ZC,WH,2,2
