legacy_type,legacy_shade,products,bare,full,forms
DTS,ICE,15,0.2,0.0,
DTS,LBR,7,1.0,0.0,
DTS,NAT,52,0.115,0.0,NATS 53%; NATS DTS 18%; NATS SET 6%
DTS,PK,4,0.0,0.0,PK. DTS 1ST 33%; PK. DTS 3RD 33%; PK.DTS 2ND 33%
DTS,RED,1,1.0,0.0,RED.DTS 100%
DTS,SA,6,0.0,0.0,DVS 50%; SAND DTS 50%
DTS,SI,1091,0.316,0.0,SI1 27%; DTS 14%; DTS SI1 7%
DTS,T1,15,0.467,0.0,DTS 67%; TLB DTS 33%
DTS,T2,7618,0.014,0.0,TTLB 26%; LAPIS + TT 3%; WHITE AGATE + TT 3%
DTS,T3,3,0.0,0.0,DTS TLC 33%; CUS DTS 33%; TLC 33%
DTS,W1,17245,0.772,0.0,DTS 43%; TAN 2%; TAN3A 2%
DTS,W2,1272,0.27,0.0,DTS 18%; G VS 10%; GVS 7%
DTS,W3,21,0.238,0.0,DTS 25%; GA.CUS 12%; DT F VS 1 12%
DTS,WI1,930,0.881,0.0,DTS 43%; I2 19%; I1 5%
DTS,WI2,38,0.132,0.0,DTS I2 37%; I2 33%; DTS P1 7%
DTS,WI3,3,0.0,0.0,I3 + PRL 100%
DTS,YM,6,0.667,0.0,YL.DTS 33%; DTS CUS 17%; YEL.DTS 17%
DYJ,,1,0.0,0.0,
DYJ,CH,1,0.0,0.0,CHAR JADE 100%
DYJ,GR,24,0.0,0.0,GR_JADE 33%; GREEN JADE 17%; DYED_J 17%
DYJ,LAV,62,0.0,0.0,LAV_JADE 30%; LAV_JAD 15%; LAVAN.JADE 5%
DYJ,PK,1,0.0,0.0,PINK JADE 100%
DYJ,RED,1,0.0,0.0,RED JADE 100%
DYJ,WH,1,0.0,0.0,
EAG,,7,0.0,0.0,EAGLE EYE 50%; DRAG_EYE 25%; EG_EYE + GD + SIL 25%
EM,,3,0.0,0.0,EM SYN + W.TOP 67%; EMC 33%
EM,2,449,0.285,0.568,EM2 63%; EM 4%; EMERALD 2%
EM,C,130,0.069,0.815,EMC 83%; EME 4%; 3BALLS + EMC CB 2%
EM,CS,180,0.161,0.722,EMCS 82%; EM + W.C 2%; EMCS + W.Q 1%
EM,M,21,0.286,0.714,EMM 36%; EMM + 1DTS 27%; EMM + 1DT 18%
EM,REC,1,0.0,0.0,EM CREAT 100%
EM,SP,1,0.0,1.0,EMSP 100%
FOP,,10,0.0,0.0,FI.OP 67%; FIRE.OPAL 33%
FYTOU,,2,0.0,0.0,
GA,,2087,0.804,0.0,GA 68%; GA BRI 4%; GA + SIL 2%
GA,A,1,1.0,0.0,GA 100%
GA,C,6,0.833,0.0,GA 50%; CIT + 24DTS 25%; GA + 24DTS 25%
GA,MLY,3,0.667,0.0,
GQ,,1953,0.637,0.0,GQ 20%; GR.Q 18%; G.Q 11%
GQ,2,2,0.0,0.0,
GTOUR,,982,0.745,0.0,G.TO 18%; GT 18%; G.TOUR 9%
GTOUR,A,1,1.0,0.0,
GTOUR,C,7,0.0,0.0,GT C 100%
GTOUR,CD,1,0.0,0.0,
GTOUR,CDA,1,0.0,0.0,
GTOUR,SP,1,0.0,0.0,
HMT,,19,0.0,0.0,HEMATITE 46%; HEMAT 31%; AAQUATATION 15%
IOL,,2,0.5,0.0,IOL 100%
IOL,A,2839,0.103,0.0,L.IOL 33%; LIOL 16%; L.IO 14%
IOL,AA,159,0.73,0.013,
IOL,AAA,1298,0.77,0.0,IOL 75%; IOL + SCDTS 3%; IOL BRI 2%
JAD,,67,0.015,0.0,JADE 51%; DR_JADE 11%; JADE_BALL 9%
JAD,BK,7,0.0,0.0,BL.JADE 50%; B.JADE 33%; BL_JADE 17%
JAD,WH,7,0.0,0.0,
JET,,1,1.0,0.0,
JSP,,1,0.0,0.0,
JSP,RED,3,0.0,0.0,RED JASP 100%
KUN,,13,0.462,0.0,
KYA,,41,0.512,0.0,KYANITE 38%; KYAN 25%; KYA 12%
LAB,,40,0.175,0.0,LABRA + GOLD + SIL 20%; LABRA 20%; LAVENDER 20%
LAP,,240,0.029,0.0,LAPIS 79%; LAPIS + SCDTS 6%; LAP + TUR 2%
LAP,AAA,1,1.0,0.0,
LAP,C,1,0.0,0.0,LAPIS 100%
LAP,GD,4,0.0,0.0,
LAQ,,1291,0.002,0.0,L.Q 31%; L.Q BRI 17%; LQ 12%
LAQ,A,1,0.0,0.0,
MAB,,6,0.0,0.0,B.MABE 50%; MABE 50%
MGA,,6,0.0,0.0,
MLK,,167,0.0,0.0,MALACHITE 76%; MALACHITE + TTLB 5%; MALA 5%
MLK,GD,4,0.0,0.0,
MOI,,10,0.1,0.0,MOISS 90%; MOI 10%
MON,BK,15,0.0,0.0,BK_MOON 42%; BK.MOON 25%; BLK.MOONSTONE 8%
MON,BL,31,0.0,0.0,BL.MS 43%; B.MS 29%; BL.MOON 14%
MON,BR,53,0.0,0.0,BRMS 16%; BR_MOON 12%; BR_MS 12%
MON,GBL,23,0.0,0.0,GR.MOON 25%; GRAY M.S 25%; GR.MO 25%
MON,GR,78,0.0,0.0,GR.MOON 31%; GRMS 15%; GR_MOON 15%
MON,GY,145,0.0,0.0,GYMS 26%; GY.MS 14%; GMS 12%
MON,OR,227,0.0,0.0,ORMS 19%; OR.MOON 16%; OMS 12%
MON,RB,1404,0.0,0.0,RMS 51%; RMS + SC.DTS 3%; R.MO 3%
MON,RBG,34,0.0,0.0,RMS 80%; RMS + BK_RHO 20%
MON,WH,373,0.0,0.0,WMS 33%; W.MOON 17%; W_MOON 6%
MON,WHCE,8,0.0,0.0,
MON,YM,5,0.0,0.0,Y.MOON #4 40%; Y.MOON #5 20%; MOS 1 + 2 + 3 + 4 + 5 20%
MOP,,403,0.097,0.0,W.MOP 28%; G.MOP 15%; B.MOP 10%
MOP,BK,37,0.0,0.0,B.MOP 21%; AMC CAB + G.MOP 7%; AMC + G.MOP 7%
MOP,GBL,7,0.0,0.0,G-DTS 100%
MOP,GO,2,0.0,0.0,
MOP,GY,46,0.0,0.0,G.MOP 25%; GY.MOP RD 12%; GMOP_RD 12%
MOP,PK,111,0.0,0.0,W.MOP + Y.TOP 17%; P.MOP 17%; PK_MOP 17%
MOP,WH,504,0.069,0.0,W.MOP 36%; W.MOP RD 6%; WMOP 6%
MOR,,87,0.517,0.0,MORGANITE 50%; MOR 28%; MORG 11%
MOR,AA,1,0.0,0.0,
MOR,PK,1,1.0,0.0,
NEP,,4,0.25,0.0,NEPHRITE 100%
NEP,GR,1,0.0,0.0,
